# Rime user dictionary
#@/db_name	wubixinshiji
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1920
#@/user_id	macbookpro
hgmd 	上岸	c=1 d=1 t=972
hh 	止	c=1 d=1 t=1528
hhvi 	目录	c=1 d=1 t=1541
hkkg 	点号	c=3 d=2.89489 t=1572
hko 	点	c=1 d=1 t=1550
hn 	卢	c=2 d=1.00022 t=1716
hnd 	鼎	c=1 d=1 t=835
htf 	睡	c=1 d=1 t=1701
hto 	瞅	c=1 d=1 t=1672
hw 	具	c=1 d=1 t=461
hx 	此	c=7 d=2.19195 t=1680
hxff 	此款	c=1 d=1 t=821
hxtq 	此物	c=1 d=1 t=1110
i 	不	c=31 d=7.27511 t=1906
iagw 	满	c=1 d=1 t=943
iakh 	满嘴	c=1 d=1 t=407
iakh 	满足	c=1 d=1 t=1871
iamm 	江山	c=1 d=1 t=1022
iatm 	港币	c=1 d=1 t=129
id 	尖	c=1 d=1 t=329
idr 	源	c=2 d=1.05872 t=1864
ie 	肖	c=1 d=1 t=522
ifc 	法	c=1 d=1 t=1049
ige 	清	c=1 d=1 t=40
igxt 	光纤	c=1 d=1 t=212
ih 	小	c=10 d=1.81435 t=1901
ihc 	波	c=1 d=1 t=1793
ihny 	小心	c=1 d=1 t=950
ihoy 	小米	c=1 d=1 t=1017
ihpg 	小写	c=1 d=1 t=1837
ihyu 	小说	c=13 d=7.82497 t=1346
ii 	水	c=3 d=1.02337 t=1139
iith 	消息	c=1 d=1 t=1703
iitj 	水利	c=1 d=1 t=333
iiuw 	水冷	c=1 d=1 t=240
ilr 	渐	c=1 d=1 t=379
im 	油	c=2 d=1.05182 t=1674
imya 	测试	c=2 d=1.00049 t=1665
ipbj 	沈阳	c=1 d=1 t=1711
ipkf 	堂	c=1 d=1 t=767
ipkh 	常	c=1 d=1 t=209
ipkm 	演员	c=1 d=1 t=1680
ipkm 	赏	c=1 d=1 t=910
ipnu 	学习	c=1 d=1 t=1820
iptj 	觉得	c=1 d=1 t=1670
ipw 	深	c=1 d=1 t=1153
iqpg 	淘宝	c=3 d=2.98012 t=155
irit 	激活	c=1 d=1 t=15
irlg 	汽车	c=2 d=1.05727 t=1092
itd 	活	c=1 d=1 t=681
itfm 	海南	c=1 d=1 t=126
itk 	洛	c=1 d=1 t=116
itm 	澳	c=1 d=1 t=118
ituy 	澳门	c=6 d=1.92177 t=1627
itx 	海	c=3 d=1.25242 t=597
iv 	当	c=2 d=1.99501 t=1648
ivue 	当前	c=3 d=1.53076 t=1690
iw 	没	c=1 d=1 t=47
iwde 	没有	c=7 d=2.22405 t=1903
iwx 	沦	c=1 d=1 t=353
ix 	涨	c=1 d=1 t=1034
iybm 	流出	c=2 d=1.0488 t=1103
iyca 	游戏	c=8 d=1.80786 t=1159
iyjg 	流量	c=2 d=1.00039 t=1682
iyow 	洗衣粉	c=1 d=1 t=1369
iysf 	游标	c=3 d=2.85941 t=1869
iyto 	注释	c=1 d=1 t=1963
iyty 	注入	c=1 d=1 t=423
j 	是	c=29 d=6.12591 t=1871
jafv 	暴雪	c=2 d=1.79852 t=1065
jb 	最	c=3 d=1.02636 t=1807
jbrg 	最后	c=1 d=0.101534 t=1808
jbrp 	最近	c=1 d=1 t=56
jbvb 	最好	c=1 d=1 t=1508
jbwg 	最全	c=1 d=1 t=544
jbxk 	最强	c=2 d=1.98511 t=363
jcrf 	坚持	c=1 d=1 t=734
je 	明	c=1 d=1 t=1905
jefj 	明朝	c=1 d=1 t=541
jf 	时	c=9 d=5.34377 t=1860
jfd 	里	c=2 d=1.60957 t=1961
jfkk 	显示器	c=1 d=1 t=1927
jfwh 	时候	c=1 d=1 t=781
jgdh 	是否	c=1 d=1 t=1875
jggi 	是不	c=2 d=1.90937 t=1870
jhkg 	冒号	c=1 d=1 t=1859
jhrb 	申报	c=1 d=1 t=1128
jj 	日	c=1 d=1 t=1894
jmfg 	蚺	c=1 d=1 t=35
jmhh 	帅	c=1 d=1 t=204
jn 	电	c=1 d=1 t=432
jney 	电脑	c=2 d=1.95123 t=1011
jnib 	电池	c=2 d=1.00734 t=1156
jnjy 	电影	c=2 d=1.40052 t=1256
jnpy 	电视	c=1 d=1 t=1019
jnyt 	电话	c=2 d=1.45841 t=851
jofi 	显示	c=6 d=3.01481 t=1852
johg 	显卡	c=4 d=3.63906 t=180
jqr 	易	c=2 d=1.01434 t=1907
js 	果	c=1 d=1 t=1607
jssc 	果树	c=1 d=1 t=501
jtg 	星	c=1 d=1 t=888
jtkr 	监听	c=1 d=1 t=1668
jydx 	蛟龙	c=1 d=1 t=477
jyjg 	蝙蝠	c=1 d=1 t=1620
jyk 	影	c=1 d=1 t=431
jykt 	影响	c=2 d=1.99005 t=1432
k 	中	c=2 d=1.01734 t=1070
